净值日期,单位净值,累计净值,日增长率
2017-06-08,1.0000,1.0000,0.00
2017-06-09,1.0000,1.0000,0.00
2017-06-16,1.0020,1.0020,0.00
2017-06-23,1.0020,1.0020,0.00
2017-06-30,1.0070,1.0070,0.00
2017-07-07,1.0070,1.0070,0.00
2017-07-10,1.0060,1.0060,-0.10
2017-07-11,1.0060,1.0060,0.00
2017-07-12,1.0070,1.0070,0.10
2017-07-13,1.0060,1.0060,-0.10
2017-07-14,1.0040,1.0040,-0.20
2017-07-17,0.9890,0.9890,-1.49
2017-07-18,0.9940,0.9940,0.51
2017-07-19,1.0020,1.0020,0.80
2017-07-20,1.0040,1.0040,0.20
2017-07-21,1.0040,1.0040,0.00
2017-07-24,1.0050,1.0050,0.10
2017-07-25,1.0020,1.0020,-0.30
2017-07-26,0.9960,0.9960,-0.60
2017-07-27,1.0090,1.0090,1.31
2017-07-28,1.0090,1.0090,0.00
2017-07-31,1.0130,1.0130,0.40
2017-08-01,1.0150,1.0150,0.20
2017-08-02,1.0090,1.0090,-0.59
2017-08-03,1.0050,1.0050,-0.40
2017-08-04,0.9990,0.9990,-0.60
2017-08-07,1.0040,1.0040,0.50
2017-08-08,1.0070,1.0070,0.30
2017-08-09,1.0100,1.0100,0.30
2017-08-10,1.0050,1.0050,-0.50
2017-08-11,1.0000,1.0000,-0.50
2017-08-14,1.0160,1.0160,1.60
2017-08-15,1.0190,1.0190,0.30
2017-08-16,1.0250,1.0250,0.59
2017-08-17,1.0280,1.0280,0.29
2017-08-18,1.0260,1.0260,-0.19
2017-08-21,1.0320,1.0320,0.58
2017-08-22,1.0300,1.0300,-0.19
2017-08-23,1.0260,1.0260,-0.39
2017-08-24,1.0210,1.0210,-0.49
2017-08-25,1.0300,1.0300,0.88
2017-08-28,1.0380,1.0380,0.78
2017-08-29,1.0390,1.0390,0.10
2017-08-30,1.0410,1.0410,0.19
2017-08-31,1.0420,1.0420,0.10
2017-09-01,1.0440,1.0440,0.19
2017-09-04,1.0500,1.0500,0.57
2017-09-05,1.0580,1.0580,0.76
2017-09-06,1.0590,1.0590,0.09
2017-09-07,1.0580,1.0580,-0.09
2017-09-08,1.0610,1.0610,0.28
2017-09-11,1.0680,1.0680,0.66
2017-09-12,1.0680,1.0680,0.00
2017-09-13,1.0700,1.0700,0.19
2017-09-14,1.0680,1.0680,-0.19
2017-09-15,1.0680,1.0680,0.00
2017-09-18,1.0800,1.0800,1.12
2017-09-19,1.0780,1.0780,-0.19
2017-09-20,1.0860,1.0860,0.74
2017-09-21,1.0830,1.0830,-0.28
2017-09-22,1.0820,1.0820,-0.09
2017-09-25,1.0790,1.0790,-0.28
2017-09-26,1.0770,1.0770,-0.19
2017-09-27,1.0820,1.0820,0.46
2017-09-28,1.0850,1.0850,0.28
2017-09-29,1.0960,1.0960,1.01
2017-10-09,1.1060,1.1060,0.91
2017-10-10,1.1120,1.1120,0.54
2017-10-11,1.1130,1.1130,0.09
2017-10-12,1.1150,1.1150,0.18
2017-10-13,1.1220,1.1220,0.63
2017-10-16,1.1110,1.1110,-0.98
2017-10-17,1.1120,1.1120,0.09
2017-10-18,1.1140,1.1140,0.18
2017-10-19,1.1170,1.1170,0.27
2017-10-20,1.1240,1.1240,0.63
2017-10-23,1.1330,1.1330,0.80
2017-10-24,1.1400,1.1400,0.62
2017-10-25,1.1480,1.1480,0.70
2017-10-26,1.1460,1.1460,-0.17
2017-10-27,1.1430,1.1430,-0.26
2017-10-30,1.1330,1.1330,-0.87
2017-10-31,1.1320,1.1320,-0.09
2017-11-01,1.1310,1.1310,-0.09
2017-11-02,1.1240,1.1240,-0.62
2017-11-03,1.1160,1.1160,-0.71
2017-11-06,1.1280,1.1280,1.08
2017-11-07,1.1390,1.1390,0.98
2017-11-08,1.1420,1.1420,0.26
2017-11-09,1.1460,1.1460,0.35
2017-11-10,1.1530,1.1530,0.61
2017-11-13,1.1550,1.1550,0.17
2017-11-14,1.1550,1.1550,0.00
2017-11-15,1.1400,1.1400,-1.30
2017-11-16,1.1440,1.1440,0.35
2017-11-17,1.1230,1.1230,-1.84
2017-11-20,1.1380,1.1380,1.34
2017-11-21,1.1360,1.1360,-0.18
2017-11-22,1.1340,1.1340,-0.18
2017-11-23,1.1100,1.1100,-2.12
2017-11-24,1.1080,1.1080,-0.18
2017-11-27,1.1020,1.1020,-0.54
2017-11-28,1.1100,1.1100,0.73
2017-11-29,1.1070,1.1070,-0.27
2017-11-30,1.1000,1.1000,-0.63
2017-12-01,1.1030,1.1030,0.27
2017-12-04,1.0990,1.0990,-0.36
2017-12-05,1.0830,1.0830,-1.46
2017-12-06,1.0880,1.0880,0.46
2017-12-07,1.0840,1.0840,-0.37
2017-12-08,1.0960,1.0960,1.11
2017-12-11,1.1080,1.1080,1.09
2017-12-12,1.1010,1.1010,-0.63
2017-12-13,1.1090,1.1090,0.73
2017-12-14,1.1090,1.1090,0.00
2017-12-15,1.1020,1.1020,-0.63
2017-12-18,1.0990,1.0990,-0.27
2017-12-19,1.1060,1.1060,0.64
2017-12-20,1.1020,1.1020,-0.36
2017-12-21,1.1050,1.1050,0.27
2017-12-22,1.0990,1.0990,-0.54
2017-12-25,1.0900,1.0900,-0.82
2017-12-26,1.0920,1.0920,0.18
2017-12-27,1.0790,1.0790,-1.19
2017-12-28,1.0830,1.0830,0.37
2017-12-29,1.0890,1.0890,0.55
2017-12-31,1.0890,1.0890,0.00
2018-01-02,1.0990,1.0990,0.92
2018-01-03,1.1060,1.1060,0.64
2018-01-04,1.1090,1.1090,0.27
2018-01-05,1.1130,1.1130,0.36
2018-01-08,1.1170,1.1170,0.36
2018-01-09,1.1210,1.1210,0.36
2018-01-10,1.1230,1.1230,0.18
2018-01-11,1.1180,1.1180,-0.45
2018-01-12,1.1150,1.1150,-0.27
2018-01-15,1.1070,1.1070,-0.72
2018-01-16,1.1160,1.1160,0.81
2018-01-17,1.1120,1.1120,-0.36
2018-01-18,1.1110,1.1110,-0.09
2018-01-19,1.1080,1.1080,-0.27
2018-01-22,1.1190,1.1190,0.99
2018-01-23,1.1230,1.1230,0.36
2018-01-24,1.1230,1.1230,0.00
2018-01-25,1.1160,1.1160,-0.62
2018-01-26,1.1160,1.1160,0.00
2018-01-29,1.1040,1.1040,-1.08
2018-01-30,1.1040,1.1040,0.00
2018-01-31,1.1020,1.1020,-0.18
2018-02-01,1.0820,1.0820,-1.81
2018-02-02,1.0810,1.0810,-0.09
2018-02-05,1.0760,1.0760,-0.46
2018-02-06,1.0380,1.0380,-3.53
2018-02-07,1.0280,1.0280,-0.96
2018-02-08,1.0440,1.0440,1.56
