基金代码,基金简称,日期,日增长率,近一周,近一月,近三月,近六月,近一年,近2年,近3年,今年来,成立来
012404,东方中债1-5年政策性金融债C,2022-02-18,-0.03,0.02,0.27,1.09,142.52,,,,0.60,142.52
012627,申万菱信汇元宝债券C,2022-02-18,-0.07,0.45,-1.36,-2.73,64.89,,,,-2.30,64.89
004400,金信民兴债券A,2022-02-18,0.01,0.03,0.15,0.51,63.86,64.34,64.75,70.48,0.22,242.18
003526,农银汇理金穗纯债3个月定开债,2022-02-18,,0.04,0.18,0.62,63.36,65.53,68.36,73.06,0.30,87.40
004401,金信民兴债券C,2022-02-18,0,0.02,0.11,0.40,63.25,64.02,63.82,69.48,0.16,98.52
010084,蜂巢丰瑞债券A,2022-02-18,-0.03,-0.02,0.21,0.87,55.64,,,,0.57,63.09
006679,广发道琼斯石油指数美元现汇A,2022-02-17,0.50,0.17,2.95,17.70,51.10,70.71,100.75,65.54,19.51,71.56
006680,广发道琼斯石油指数美元现汇C,2022-02-17,0.46,0.13,2.91,17.58,50.44,69.44,97.94,63.67,19.45,69.68
010085,蜂巢丰瑞债券C,2022-02-18,-0.03,-0.02,0.21,1.11,48.90,,,,0.56,55.80
162719,广发道琼斯石油指数人民币A,2022-02-17,0.26,-0.27,2.49,16.59,47.68,67.93,82.09,54.97,18.69,52.41
004243,广发道琼斯石油指数人民币C,2022-02-17,0.26,-0.29,2.48,16.48,47.12,66.61,79.62,53.31,18.65,52.05
001481,华宝标普油气上游股票美元A,2022-02-17,-0.12,-0.48,-1.44,5.78,40.37,46.88,72.39,6.32,13.34,-31.33
162411,华宝标普油气上游股票人民币A,2022-02-17,-0.27,-0.82,-1.82,4.80,37.22,44.60,56.38,-0.38,12.60,-47.80
007844,华宝标普油气上游股票人民币C,2022-02-17,-0.25,-0.82,-1.86,4.65,36.74,43.89,54.97,,12.51,30.76
163208,诺安油气能源,2022-02-17,-0.25,-0.49,3.18,13.57,33.99,44.48,13.88,-3.68,17.68,-18.80
005376,北信瑞丰华丰灵活配置,2022-02-18,0.01,-0.03,-0.04,29.45,33.55,28.08,67.04,99.91,-0.08,109.39
000076,华夏恒生ETF联接现钞,,,1.1623,2.1739,8.0460,33.4469,33.4469,33.4469,34.5162,33.4469,49.0171
003322,易方达原油A类美元汇,2022-02-17,0.12,0.19,6.44,13.37,32.92,55.63,8.75,1.58,16.16,10.78
003323,易方达原油C类美元汇,2022-02-17,0.06,0.13,6.23,13.12,32.31,54.74,7.78,-0.77,15.91,7.26
003449,招商招华纯债C,2022-02-18,-0.02,0,0.32,1.21,32.11,36.20,39.88,45.91,0.63,45.91
160723,嘉实原油(QDII-LOF),2022-02-17,-0.84,-0.08,6.18,13.38,31.20,52.77,10.63,6.32,15.92,19.48
161129,易方达原油A类人民币,2022-02-17,-0.12,-0.29,5.98,12.28,29.90,53.01,-1.38,-4.88,15.36,1.49
003321,易方达原油C类人民币,2022-02-17,-0.11,-0.29,5.81,12.05,29.36,52.13,-2.23,-7.05,15.16,-1.71
