基金代码,基金简称,日期,日增长率,近一周,近一月,近三月,近六月,近一年,近2年,近3年,今年来,成立来
005376,北信瑞丰华丰灵活配置,2022-02-17,-0.01,-0.04,-0.05,28.02,33.54,27.01,67.13,101.48,-0.08,109.38
001782,九泰久益混合A,2022-02-17,0.20,-1.13,-1.29,6.40,27.24,37.86,91.01,129.52,-0.12,185.74
001844,九泰久益混合C,2022-02-17,0.17,-1.19,-1.35,6.30,27.05,37.47,90.23,127.31,-0.21,173.05
004685,金元顺安元启灵活配置混合,2022-02-17,-0.50,0.99,1.05,16.50,26.02,60.14,124.49,148.13,4.40,170.74
501015,财通多策略升级混合(LOF),2022-02-17,1.38,-3.84,4.16,14.84,19.76,1.82,23.92,47.37,4.63,17.60
005851,财通新视野灵活配置混合A,2022-02-17,1.46,-3.51,4.63,15.69,19.37,-3.16,38.51,92.66,5.57,93.01
005959,财通新视野灵活配置混合C,2022-02-17,1.46,-3.53,4.56,15.45,18.90,-3.95,36.30,88.06,5.46,87.44
002085,长盛互联网+混合,2022-02-17,-0.24,-1.26,-6.39,-1.56,18.73,-0.06,48.60,68.07,-7.23,64.20
006199,长盛同锦研究精选混合,2022-02-17,-0.28,-1.25,-6.46,-1.74,18.71,1.72,51.48,,-7.39,67.78
002662,前海开源沪港深大消费混合A,2022-02-17,1.61,-3.11,5.45,10.88,18.09,-11.97,63.46,105.21,7.07,108.90
002663,前海开源沪港深大消费混合C,2022-02-17,1.62,-3.13,5.45,10.81,17.94,-12.10,63.07,104.64,7.03,107.10
005585,银河文体娱乐混合,2022-02-17,-1.80,-3.23,-19.14,-2.54,17.80,9.83,1.16,64.02,-12.69,61.71
003175,华泰柏瑞多策略混合,2022-02-17,0.76,0.11,1.82,6.72,17.64,40.65,55.90,79.91,2.62,91.96
004475,华泰柏瑞富利混合A,2022-02-17,0.78,0.12,1.88,6.27,17.62,41.90,89.70,120.58,2.08,73.33
001892,长盛新兴成长混合,2022-02-17,-0.25,-1.14,-6.64,-2.11,17.27,-0.84,60.71,100,-7.59,99.60
090019,大成景恒混合A,2022-02-17,-0.09,-0.51,-4.74,7.42,16.67,40.37,60.60,98.51,-1.44,184.88
006038,大成景恒混合C,2022-02-17,-0.09,-0.51,-4.81,7.25,16.33,39.47,58.63,95.03,-1.51,112.92
009686,华夏磐利一年定开混合A,2022-02-17,-0.36,-2.20,-10.57,2.20,15.80,53.21,,,-9.54,64.67
009687,华夏磐利一年定开混合C,2022-02-17,-0.36,-2.21,-10.60,2.10,15.57,52.59,,,-9.59,63.65
006567,中泰星元灵活配置混合A,2022-02-17,-0.77,-1.91,1.57,6.79,15.53,20.85,86.87,127.79,1.29,134.28
006624,中泰玉衡价值优选混合,2022-02-17,-0.78,-1.94,1.41,7,15.43,22.64,95.42,,1.21,107.07
